Name,f,,u,,m,,score (out of 10),
LG,0.26904272656416073,0.001866452566389342,0.3446890853984486,0.002730666592631724,0.60619754680439,0.0123073416272401,4.227800618857934,0.020180006610574088
Motorola,0.17074601647384602,0.0018228377682087994,0.1187081443737626,0.0016839718812882635,0.6415441176470589,0.013945197286342343,3.108493936699497,0.020882584534070183
Samsung,0.1297085950625114,0.00043635864069276194,0.04069730929704139,0.00027743243333678777,0.6126126126126126,0.0004874344999595475,2.7497070457159425,0.0020453974229759087
HTC,0.13850977308237533,0.0007857152583863819,0.09869478626731071,0.0012618522648732455,0.8997940974605353,0.012734864780310589,2.5846803246190566,0.01645621966111972
Asus,0.2527983011104721,0.002890832697848496,0.510873470049558,0.0065372248757028205,5.826785714285714,0.07315403947542914,2.5614468559346046,0.022803126699282982
Sony,0.13556215488840426,0.0016488737594900146,0.19246753288474225,0.0020582664262765887,1.1810344827586208,0.017918333721155675,2.528848685004817,0.021328164730102895
other,0.05252214093184444,0.0007992067499298025,0.0530788090318636,0.001011315500643552,1.0332225913621262,0.012862887568125208,1.9440838795505309,0.015576117044886746
alps,0.029228587284947895,0.0013227480912146935,0.1898857328691499,0.0052289871226527595,4.964444444444444,0.09382176067470031,0.7281720705869268,0.01700289749544474
Symphony,0.0007451691025793012,0.0001122966056498924,0.09438333384146194,0.002229678020445475,5.424170616113744,0.05561337763391604,0.312466895902218,0.006860855807309953
walton,9.853187506158242e-05,6.966912445067245e-05,0.08600255839121226,0.0026341393279541003,6.098976109215017,0.07727341856616426,0.27184261790410025,0.007974946383416006
